model,threshold,AUROC,ACC,F1,MCC
GCN,0.5,0.6955500276395798,0.6685714285714286,0.7542372881355932,0.26538902150421717
GAT,0.5700000000000001,0.691680486456606,0.6057142857142858,0.6349206349206349,0.23603607623599898
GraphSAGE,0.45999999999999996,0.6897457158651188,0.6685714285714286,0.7661290322580645,0.25274884568266437
GIN,0.44000000000000006,0.7204256495301271,0.68,0.7627118644067796,0.2919127672285107
MPNN,0.51,0.6533996683250414,0.6342857142857142,0.6831683168316832,0.25907384395081395
GNN-Ensemble,0.49,0.6956882255389718,0.6571428571428571,0.7345132743362832,0.25529141405221284
