feature_set,model,AUROC_mean,AUROC_std
desc_morgan,xgb,0.7081479298895028,0.026863354648417295
desc_morgan,lgbm,0.7096214158292811,0.025850872823233517
desc_morgan,cat,0.7067221989413002,0.027412478689156927
desc_morgan,ENS3,0.7121289675784059,0.026603583659998025
rich,xgb,0.7168056901483866,0.022427796030108027
rich,lgbm,0.7138553643609825,0.02991409422582546
rich,cat,0.712015225723091,0.024983975328299653
rich,ENS3,0.7192428607597148,0.02428143044923713
