pipeline,threshold,test_n,test_AUROC,test_MCC,test_Brier,ext_n,ext_AUROC,ext_MCC
current,0.5,96,0.933,0.813,0.094,735,0.66,0.213
improved,0.639,96,0.92,0.771,0.106,501,0.655,0.234
