train_frac,n_train,AUROC_mean,AUROC_std
0.2,186,0.6294906061479095,0.03144465017584375
0.4,372,0.6781681551906271,0.02776688313118273
0.6,559,0.684440166574998,0.03636292341604293
0.8,745,0.7249717791571725,0.036082006415324164
1.0,932,0.7232728975144707,0.035391553631295945
