variant,method,threshold,AUROC,ACC,F1,MCC
classical-only,mean,0.5,0.6846323935876174,0.6628571428571428,0.757201646090535,0.2431629642377162
classical-only,logreg-stack,0.4,0.6867053620784963,0.68,0.7704918032786885,0.28441655209487166
gnn-only,mean,0.48,0.7037037037037037,0.6514285714285715,0.7312775330396476,0.24092350218614045
gnn-only,logreg-stack,0.56,0.6901603095632947,0.6171428571428571,0.6699507389162561,0.221150422195931
chemberta-only,mean,0.44000000000000006,0.6762023217247097,0.7085714285714285,0.7918367346938775,0.35502249295040633
full,mean,0.53,0.7113045881702599,0.6857142857142857,0.7577092511013216,0.31652711165877867
full,logreg-stack,0.58,0.6843559977888336,0.6171428571428571,0.6633165829145728,0.23153866708699652
