AUROC,ACC,F1,MCC,Prec,Rec,model,AUROC_std,n,pos_rate
0.883,0.825,0.831,0.653,0.8,0.864,TDC desc+Morgan GBM (5-fold scaffold CV),0.035,,
0.722,0.675,0.749,0.294,0.714,0.787,DILIst desc+Morgan ENS3 (repeated 5-fold CV),,1165.0,0.62
