model,AUROC_mean,AUROC_std,ACC_mean,ACC_std,F1_mean,F1_std,MCC_mean,MCC_std,AUROC_pooled,AUROC_CI_low,AUROC_CI_high,best_method
GIN,0.6956053067993366,0.006829046087145916,0.6639999999999999,0.01671855867237463,0.7344731312007765,0.026033964055548066,0.2803106128124442,0.04401560997909036,0.7204256495301271,0.640619749050263,0.7940712972990933,grid_search
GAT,0.6733001658374793,0.013954840402844459,0.6365714285714285,0.017180910146711897,0.7115445989922978,0.028229142201905408,0.22136875362503222,0.028598014033632234,0.691680486456606,0.6166214440944497,0.7614812196292668,optuna_tpe
GCN,0.669264787175235,0.021843033794808776,0.622857142857143,0.06594988821144461,0.6675304119748564,0.14994147388653162,0.2278707998095581,0.04020463409147877,0.6955500276395798,0.6234028282045809,0.7679668749588575,optuna_tpe
GraphSAGE,0.6533443891652846,0.043049442010296944,0.5885714285714285,0.10311079834185109,0.5721566305727406,0.28789866420359433,0.1852708783722914,0.09948799868915645,0.6897457158651188,0.6141749714992327,0.7645316294618179,optuna_tpe
MPNN,0.6282200110558319,0.021735221534404856,0.5897142857142856,0.02738091097305355,0.6290572706214077,0.05147222937992064,0.18709347096490875,0.027500088682455254,0.6533996683250414,0.5740684641704268,0.7348508180898423,optuna_tpe
