model,AUROC_mean,AUROC_std,ACC_mean,ACC_std,F1_mean,F1_std,MCC_mean,MCC_std,n_folds
GAT,0.6706484810226904,0.04789180394229411,0.5973001871157445,0.05120659863279669,0.6075136312336982,0.09577665846153166,0.20994977387030644,0.07498466355234813,10
GIN,0.6664465555147877,0.061301431348585574,0.6375568029938519,0.04340107262285473,0.6847935874728523,0.055653121698493416,0.25778090946204574,0.09862461352425489,10
GCN,0.6568861852007013,0.043313912590515646,0.6191392675755145,0.05066269022129778,0.6500493751699224,0.09359206287100354,0.24024295234205084,0.09288116930387944,10
GraphSAGE,0.6481677693397333,0.04353797651415872,0.6259155306067896,0.05344524571128362,0.6758153776358873,0.08800434490166967,0.2298166841155549,0.08362435544174794,10
MPNN,0.6352885389085577,0.049573830008160694,0.6041165463779737,0.058846538833353515,0.6353518136978362,0.1101209420844669,0.19419743644160312,0.09987731416508387,10
