feature_set,model,val_AUROC,test_AUROC,test_std
rich_mf,lgbm,0.8714377898874023,0.8873913043478259,0.020113101749948493
rich,lgbm,0.8714377898874023,0.8873913043478259,0.020113101749948493
rich_alerts,xgb,0.8683245307663912,0.904173913043478,0.014489680833670067
rich,ENS4,0.8652006348517978,0.9054782608695652,0.018838885096587345
rich_mf_alerts,xgb,0.8646269793944212,0.9067826086956522,0.014350724344957358
rich_mf,xgb,0.8643588503084626,0.9082608695652172,0.013624730100862957
rich_mf,ENS4,0.8638765419191776,0.9066956521739129,0.016433632349901233
rich_alerts,lgbm,0.8633619803968641,0.8887826086956523,0.015392532498285462
rich_mf_alerts,lgbm,0.8633619803968641,0.8887826086956523,0.015392532498285462
rich,xgb,0.8624008743194791,0.9072173913043479,0.01621360254145885
rich_mf_alerts,ENS4,0.8612646039002628,0.909391304347826,0.015745134574208106
rich_alerts,ENS4,0.8609868103472754,0.9072173913043479,0.013684536551988973
desc_morgan_alerts,ENS4,0.8511773655572105,0.9240869565217393,0.012461206342728931
desc_morgan_alerts,xgb,0.8490489656768727,0.9160869565217391,0.018374388355752513
desc_morgan_alerts,cat,0.8481902163297512,0.9139130434782607,0.014291060301351357
rich_mf,cat,0.8447148623699011,0.9129565217391304,0.01461128341469613
rich,cat,0.8441543713249139,0.9058260869565217,0.02345183698231314
desc_morgan,ENS4,0.8426927637392755,0.9201739130434783,0.013739680781492554
desc_morgan,xgb,0.8410401721448235,0.9193043478260868,0.020979060583991068
desc_morgan,lgbm,0.8405415027120453,0.9073043478260869,0.014402793259857603
desc_morgan,cat,0.8393717494105092,0.909391304347826,0.01580265824351831
rich_mf_alerts,cat,0.8375059013624904,0.9123478260869564,0.01567775687053137
desc_morgan_alerts,lgbm,0.8373285277742643,0.9096521739130434,0.017670369718077093
rich_alerts,cat,0.8352920027144833,0.9144347826086955,0.014758035842488214
