variant,method,threshold,AUROC,ACC,F1,MCC
hybrid,GNNxN+desc+FP -> XGBoost,0.53,0.6925096738529574,0.72,0.7932489451476793,0.3842666335760246
hybrid,GNNxN+desc (no FP) -> XGBoost,0.7,0.677584300718629,0.6742857142857143,0.7466666666666667,0.2945462420626467
ablation,FP-only -> XGBoost,0.23,0.6634881149806523,0.6742857142857143,0.7782101167315175,0.26593381724092324
