dataset,n,pos_rate,threshold,AUROC,AUROC_CI,PR_AUC,PR_AUC_CI,ACC,ACC_CI,F1,F1_CI,MCC,MCC_CI,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,Precision,NPV,Brier,TP,TN,FP,FN
TDC_test,96,0.521,0.6908,0.919,"[0.849, 0.974]",0.898,"[0.799, 0.974]",0.865,"[0.792, 0.927]",0.866,"[0.787, 0.931]",0.731,"[0.589, 0.856]",0.84,"[0.731, 0.935]",0.891,"[0.795, 0.975]",0.894,0.837,0.106,42,41,5,8
DILIrank_external,625,0.587,0.6908,0.632,"[0.587, 0.675]",0.686,"[0.634, 0.740]",0.597,"[0.557, 0.635]",0.634,"[0.590, 0.675]",0.192,"[0.112, 0.268]",0.594,"[0.542, 0.642]",0.601,"[0.541, 0.660]",0.679,0.51,0.308,218,155,103,149
DILIrank_external_novel_scaffold,501,0.561,0.6908,0.655,"[0.609, 0.703]",0.678,"[0.622, 0.742]",0.615,"[0.573, 0.659]",0.656,"[0.609, 0.703]",0.218,"[0.132, 0.306]",0.655,"[0.598, 0.710]",0.564,"[0.500, 0.630]",0.657,0.561,0.293,184,124,96,97
DILIst_external,827,0.637,0.6908,0.564,"[0.523, 0.603]",0.688,"[0.645, 0.735]",0.545,"[0.511, 0.578]",0.591,"[0.553, 0.627]",0.109,"[0.041, 0.173]",0.516,"[0.473, 0.558]",0.597,"[0.540, 0.651]",0.692,0.412,0.35,272,179,121,255
DILIst_external_novel_scaffold,657,0.613,0.6908,0.593,"[0.548, 0.637]",0.685,"[0.633, 0.737]",0.577,"[0.537, 0.615]",0.622,"[0.579, 0.662]",0.155,"[0.077, 0.231]",0.568,"[0.517, 0.615]",0.591,"[0.529, 0.652]",0.688,0.463,0.324,229,150,104,174
