model,features,threshold,AUROC,ACC,F1,MCC
XGBoost,FP+desc,0.49,0.6770315091210614,0.68,0.7666666666666667,0.2877335104117612
RandomForest,FP+desc,0.49,0.7041182974018795,0.6742857142857143,0.7764705882352941,0.26551033051027584
LogReg,FP,0.39,0.6614151464897733,0.64,0.7272727272727273,0.20814201122315512
SVM,desc,0.64,0.650428413488115,0.6228571428571429,0.6796116504854369,0.22545886561728157
Classical-Ensemble,mean-of-4,0.5,0.6846323935876174,0.6628571428571428,0.757201646090535,0.2431629642377162
