bin_mid,n,frac_pos,mean_pred
0.05,2,0.0,0.0920697831997278
0.15000000000000002,6,0.0,0.13447605430148224
0.25,9,0.1111111111111111,0.2552204560841036
0.35000000000000003,10,0.3,0.36986383501218517
0.45,5,0.6,0.46117485993914337
0.55,15,0.5333333333333333,0.545840730105986
0.6500000000000001,10,0.9,0.6622387075392372
0.75,18,0.9444444444444444,0.7612530669030294
0.8500000000000001,20,0.9,0.8421098687746863
