variant,method,tuned_for,threshold,AUROC,ACC,F1,MCC
single,GCN,MCC,0.4749999999999999,0.8531073446327684,0.7263157894736842,0.7936507936507936,0.39926813223598934
single,GAT,MCC,0.3999999999999999,0.8540489642184558,0.7789473684210526,0.8444444444444444,0.5316047198383641
single,GraphSAGE,MCC,0.37999999999999995,0.835216572504708,0.7368421052631579,0.8062015503875969,0.4201348797603971
single,GIN,MCC,0.36499999999999994,0.8083804143126178,0.7684210526315789,0.8405797101449275,0.5181516638491326
single,MPNN,MCC,0.7599999999999999,0.8290960451977402,0.7684210526315789,0.8103448275862069,0.5137775366709761
single,molformer,MCC,0.18,0.8083804143126178,0.7368421052631579,0.8120300751879699,0.42052381446856707
single,chemberta,MCC,0.5049999999999999,0.8531073446327684,0.7578947368421053,0.7964601769911505,0.5021827785397178
single,hybrid,MCC,0.26499999999999996,0.827683615819209,0.7578947368421053,0.8188976377952756,0.46993130995773785
single,specialists,MCC,0.20499999999999996,0.8229755178907721,0.7684210526315789,0.8333333333333334,0.4970415037535129
full,mean,MCC,0.5399999999999999,0.870527306967985,0.8105263157894737,0.847457627118644,0.597457627118644
full,mean,ACC,0.5399999999999999,0.870527306967985,0.8105263157894737,0.847457627118644,0.597457627118644
full,mean,F1,0.5399999999999999,0.870527306967985,0.8105263157894737,0.847457627118644,0.597457627118644
full,geom-mean,MCC,0.4749999999999999,0.8752354048964218,0.8,0.8376068376068376,0.5775252297787583
full,geom-mean,ACC,0.4099999999999999,0.8752354048964218,0.8210526315789474,0.864,0.6130137950313291
full,geom-mean,F1,0.4099999999999999,0.8752354048964218,0.8210526315789474,0.864,0.6130137950313291
full,median,MCC,0.4749999999999999,0.8639359698681732,0.7789473684210526,0.8346456692913385,0.5180385022486701
full,median,ACC,0.4749999999999999,0.8639359698681732,0.7789473684210526,0.8346456692913385,0.5180385022486701
full,median,F1,0.4749999999999999,0.8639359698681732,0.7789473684210526,0.8346456692913385,0.5180385022486701
full,rank-avg,MCC,0.37499999999999994,0.8792372881355932,0.7789473684210526,0.8235294117647058,0.5279441279547973
full,rank-avg,ACC,0.37499999999999994,0.8792372881355932,0.7789473684210526,0.8235294117647058,0.5279441279547973
full,rank-avg,F1,0.37499999999999994,0.8792372881355932,0.7789473684210526,0.8235294117647058,0.5279441279547973
4-way,weighted-equal4,MCC,0.39499999999999996,0.8615819209039547,0.8,0.8549618320610687,0.5715936072062779
4-way,weighted-equal4,ACC,0.39499999999999996,0.8615819209039547,0.8,0.8549618320610687,0.5715936072062779
4-way,weighted-equal4,F1,0.39499999999999996,0.8615819209039547,0.8,0.8549618320610687,0.5715936072062779
4-way,weighted-gnn-light,MCC,0.43999999999999995,0.8592278719397364,0.7894736842105263,0.8387096774193549,0.5429598499142988
4-way,weighted-gnn-light,ACC,0.31999999999999995,0.8592278719397364,0.7789473684210526,0.8467153284671532,0.5410492885261855
4-way,weighted-gnn-light,F1,0.31999999999999995,0.8592278719397364,0.7789473684210526,0.8467153284671532,0.5410492885261855
4-way,weighted-no-gnn,MCC,0.42999999999999994,0.852165725047081,0.7894736842105263,0.8387096774193549,0.5429598499142988
4-way,weighted-no-gnn,ACC,0.32499999999999996,0.852165725047081,0.7894736842105263,0.8529411764705882,0.5635956114640019
4-way,weighted-no-gnn,F1,0.32499999999999996,0.852165725047081,0.7894736842105263,0.8529411764705882,0.5635956114640019
4-way,weighted-no-gnn-hy-heavy,MCC,0.43999999999999995,0.8483992467043315,0.7894736842105263,0.8387096774193549,0.5429598499142988
4-way,weighted-no-gnn-hy-heavy,ACC,0.30499999999999994,0.8483992467043315,0.7894736842105263,0.8529411764705882,0.5635956114640019
4-way,weighted-no-gnn-hy-heavy,F1,0.30499999999999994,0.8483992467043315,0.7894736842105263,0.8529411764705882,0.5635956114640019
5-way,weighted-equal5,MCC,0.4599999999999999,0.8662900188323918,0.8105263157894737,0.8524590163934426,0.5910223942928939
5-way,weighted-equal5,ACC,0.4599999999999999,0.8662900188323918,0.8105263157894737,0.8524590163934426,0.5910223942928939
5-way,weighted-equal5,F1,0.4599999999999999,0.8662900188323918,0.8105263157894737,0.8524590163934426,0.5910223942928939
5-way,weighted-gnn-light5,MCC,0.4649999999999999,0.8648775894538607,0.8,0.8429752066115702,0.5694041761720933
5-way,weighted-gnn-light5,ACC,0.33999999999999997,0.8648775894538607,0.7789473684210526,0.8467153284671532,0.5410492885261855
5-way,weighted-gnn-light5,F1,0.33999999999999997,0.8648775894538607,0.7789473684210526,0.8467153284671532,0.5410492885261855
5-way,weighted-no-gnn5,MCC,0.4749999999999999,0.8601694915254238,0.8,0.8403361344537815,0.5729259146415289
5-way,weighted-no-gnn5,ACC,0.3449999999999999,0.8601694915254238,0.7894736842105263,0.8507462686567164,0.5546414324985718
5-way,weighted-no-gnn5,F1,0.3449999999999999,0.8601694915254238,0.7894736842105263,0.8507462686567164,0.5546414324985718
5-way,weighted-no-gnn5-sp-heavy,MCC,0.48999999999999994,0.8573446327683616,0.8,0.8376068376068376,0.5775252297787583
5-way,weighted-no-gnn5-sp-heavy,ACC,0.22499999999999998,0.8573446327683616,0.7578947368421053,0.8368794326241135,0.5097291910794225
5-way,weighted-no-gnn5-sp-heavy,F1,0.22499999999999998,0.8573446327683616,0.7578947368421053,0.8368794326241135,0.5097291910794225
5-way,weighted-mf-heavy5,MCC,0.4599999999999999,0.8606403013182674,0.7894736842105263,0.8360655737704918,0.5451130505007231
5-way,weighted-mf-heavy5,ACC,0.31499999999999995,0.8606403013182674,0.7789473684210526,0.8467153284671532,0.5410492885261855
5-way,weighted-mf-heavy5,F1,0.31499999999999995,0.8606403013182674,0.7789473684210526,0.8467153284671532,0.5410492885261855
meta,logreg-C1,MCC,0.38999999999999996,0.8573446327683616,0.7789473684210526,0.8372093023255814,0.518685036741231
meta,logreg-C1,ACC,0.38999999999999996,0.8573446327683616,0.7789473684210526,0.8372093023255814,0.518685036741231
meta,logreg-C1,F1,0.38999999999999996,0.8573446327683616,0.7789473684210526,0.8372093023255814,0.518685036741231
