model,old_val_auc,new_val_auc,delta,elapsed_sec,decision
GCN,0.7030303030303031,0.7216450216450218,0.01861471861471864,227.37606716156006,UPDATE
GAT,0.697113997113997,0.7177489177489177,0.020634920634920673,643.810661315918,UPDATE
GraphSAGE,0.6956709956709957,0.7311688311688311,0.03549783549783547,156.85643005371094,UPDATE
GIN,0.7346320346320346,0.7057720057720058,-0.028860028860028808,207.01719403266907,KEEP-OLD
MPNN,0.6800865800865801,0.7165945165945167,0.0365079365079366,3668.376886844635,UPDATE
