target,threshold,AUROC,ACC,F1,MCC
MCC,0.8999999999999999,0.7034273079049198,0.5771428571428572,0.5542168674698795,0.25487383155227084
ACC,0.14999999999999997,0.7034273079049198,0.6571428571428571,0.7794117647058824,0.2319404379882058
F1,0.14999999999999997,0.7034273079049198,0.6571428571428571,0.7794117647058824,0.2319404379882058
