metric,uncalibrated_geom-mean,isotonic-calibrated
AUROC,0.885593220338983,0.8356873822975519
Accuracy,0.8105263157894737,0.8105263157894737
F1,0.8524590163934426,0.8524590163934426
MCC,0.5910223942928939,0.5910223942928939
Precision,0.8253968253968254,0.8253968253968254
Recall,0.8813559322033898,0.8813559322033898
Brier,0.1381090656830895,0.14724562380973355
